款号,产品名称,小名,在库库存,采购在途
ME05DC026,花苞裤,流浪诗人,183,98
ME01DV084,亚麻宽松小领西装,流浪诗人,186,143
ME04DC005,亚麻马甲,流浪诗人,194,144
9SS2409029,U领针织背心,U领针织背心,3,0
ME07DC104,豹纹印花中短裙,野兽派,67,0
ME07DC084,印花松紧腰半身裙,野兽派,90,0
ME07DC083,印花松紧腰短裙,野兽派,40,0
MD11DC072,菱格polo领针织背心,春夏小菱花,41,0
MD09DV119,菱格polo领短袖针织衫,春夏小菱花,85,100
MD56DF002,半高领针织打底衫,六色打底,120,0
MD56DF001,圆领针织打底衫,六色打底,37,0
9SS2409027,短袖小翻领套衫,高尔夫,42,0
9SS2405023,醋酸空气裤,醋酸空气裤,135,100
9SS2411077,大U领背心,大U领背心,134,0
9SS2410044,u型领t恤,u型领t恤,297,0
9SS2410039,合体t恤短版,合体t恤短版,319,0
ME07DC030,A型半裙,清冷套,77,200
ME34DC010,斜肩上衣,清冷套,70,152
ME34DC024,T型上衣,清冷套,201,54
9AW2413020,羽绒服,冒险家羽绒版,365,0
ME20DC008,通勤马甲（黑）,繁星点缀,1,0
9SS2320015,收腰A摆四贴袋小香外套,繁星点缀,282,0
ME20DC007,通勤马甲（白）,繁星点缀,2,0
MD14BW068,鱼子酱——9号,鱼子酱,72,0
ME14BW037,双排扣宽松一手长大衣,鱼子酱,1,0
ME10DV030,醋酸短袖T恤,王子套,282,0
ME07DV053,蕾丝拼接半裙,王子套,0,0
ME11DV055,醋酸缎面勺领背心,王子套,110,0
9SS2405149,松紧腰长裤,松紧腰长裤,203,0
ME08DV055,纸片人短袖裙,纸片人短袖裙,69,0
9SS2408145,短袖连衣裙,纸片人,20,0
ME08DC012,珍珠连衣裙长版,珍珠系列,0,0
ME08DC020,珍珠连衣裙短版,珍珠系列,364,0
9SS2408144,无袖连衣裙,纸片人,15,0
9SS220842,纸片人连衣裙,纸片人连衣裙,0,0
ME08DV056,纸片人无袖连衣裙,纸片人无袖连衣裙,37,0
9AW220175,三贴袋西装,优雅老钱,218,0
9AW2407021,蕾丝裙加长版,夜玫瑰,0,0
9SS2407246,半裙两件套,蕾丝半裙,0,0
9AW2411001,蕾丝背心,夜玫瑰,0,0
MD09BW122,字母刺绣撞边针织短袖,新浪漫,134,0
9AW2409054,手工艺字母针织套头衫,新浪漫,76,0
MD09BW004,撞边刺绣字母开衫,新浪漫,5,0
ME05DC081,散步套 短裤,散步套,145,0
ME05DV037,“散步装”三件套 空气裤,散步装,238,0
ME07DV032,“散步装”三件套 半身裙,散步装,18,0
ME10DV004,“散步装”三件套 T恤,散步装,66,0
ME10DC045,散步套 短袖,散步套 短袖,0,0
MD09BW002,半高领亮丝打底衫,调色师星星版,0,0
9AW2309020,羊毛高领打底衫,调色师,17,0
9AW2309021,羊毛半高领打底衫,调色师,14,0
MD09BW003,高领亮丝打底衫,调色师星星版,1,0
MD09DF112,纯羊绒高领针织套衫,纯羊绒高领针织套衫,238,0
MD09DF113,纯羊绒圆领针织套衫,纯羊绒圆领针织套衫,229,0
ME11DV021,勺领背心,雅典娜,186,0
ME08DV022,勺领背心裙,雅典娜,81,0
ME05DV052,醋酸连腰裤,雅典娜,93,0
MD09DC048,段染镂空针织开衫,醉清风,4,0
ME14DF080,鱼子酱大衣,鱼子酱,37,0
ME05BW020,撞色拱针弯刀裤,曼哈顿,106,0
ME01BW004,宽肩西装,曼哈顿,106,0
9SS2417147,宽松廓形衬衫,彼得潘,0,199
9SS2411010,弧线吊带背心,弧线吊带背心,5,0
ME15DV028,假两件短风衣外套,爆米花,1,0
ME18DV030,爆米花风衣,爆米花,129,0
ME19DC014,腰带,念珠腰带,313,0
ME19DC015,手工编织腰带,念珠腰带,312,0
ME05DV071,宽松长裤,麻豆裤,79,350
ME11DV020,蕾丝拼接背心,蕾丝拼接背心,570,500
ME10DC025,v领T恤,麻小条,9,0
ME14DF065,立领单排扣大衣,考拉大衣,55,0
ME10DV001,印花短袖T,秀场T,498,0
ME08DC012,珍珠连衣裙长版,珍珠系列,0,0
ME11DC033,无袖龟背上衣,珍珠系列,193,0
ME08DC096,龟背珍珠长款连衣裙,珍珠系列,112,0
ME08DC020,珍珠连衣裙短版,珍珠系列,364,0
ME07DV080,醋酸半裙,珍珠系列,175,0
ME05BW042,红色格子裤,小彩格,0,0
ME05BW037-1,抽绳格子长裤(长),小彩格,0,0
ME05BW042-1,红色格子裤(长),小彩格,3,0
ME05BW037,抽绳格子长裤,小彩格,0,0
MD28DC003,针织短袖polo衫,格林衫,522,191
ME07DC130,松紧拼接半裙,MIU西娅,70,0
ME01DC059,阔肩三粒扣西装,MIU西娅,125,0
9SS2407189,缪感半裙,缪感半裙,0,0
9SS2406035,抽绳短裤,抽绳短裤,1,0
9SS2401112,阔肩三粒扣西装,阔肩三粒扣西装,1,0
9SS2409330,撞色小香肌理针织开衫,撞色小香肌理针织开衫,4,0
9SS2409331,撞色小香肌理针织马甲,撞色小香肌理针织马甲,1,0
ME10DC080,飘带短袖,飘飘背心,29,0
ME11DC018,飘带小背心,飘飘背心,155,0
ME05DC045,镂空绣花短裤,棕榈套,1,0
ME11DC067,镂空绣花吊带,棕榈套,81,0
ME07DF021,花苞抽绳短裤,胖豆豆风衣,61,0
ME15DV057,春夏胖豆豆,胖豆豆风衣,1,0
ME15DV002,编织皮领夹克,胖豆豆风衣,19,0
ME09DF079,合体条纹假两件,羊小条,566,0
MD09DC065,织带领针织短袖,银河,72,0
MD11DC089,织带领针织背心,银河,36,0
9SS2377069,marius 天丝棉空气裤,抖抖裤,0,0
ME13DW030,冒险家羽绒服,冬日冒险家,114,0
ME13DW028,泰迪短款羽绒服,泰迪羽绒,377,0
ME11DC004,蕾丝拼接背心,夜百合,3,0
ME10DF014,烫金V领T恤,烫金套,100,0
ME11DC038,背心,闪闪T,24,0
ME10DC039,v领T恤,闪闪T,83,0
ME11DF009,烫金背心,烫金套,11,0
ME05DC130,亮闪闪短裤,烫金套,92,0
ME05DC068,桶形裤,春夏气球裤,89,0
9SS2406055,松弛感麻条短裤,马德里,143,0
9SS2404069,麻感条纹马甲,马德里,86,0
9SS2405166,松弛麻条直筒裤,马德里,177,0
9AW2477010,毛边牛仔裤(水洗产品),毛边牛仔裤,85,0
MD77BW004-1,毛边牛仔裤加长版(水洗产品),毛边牛仔裤,29,0
ME14DW065,鱼子酱大衣INCA版,鱼子酱大衣INCA长毛版,0,0
MD09DV113,翻领短袖条纹针织衫,春夏平行线,541,0
ME05DV092,醋酸针织8分裤,醋酸针织8分裤,55,0
ME14DW054,立领单排扣大衣,考拉大衣,326,0
ME10DF002,亨利领套头针织,海滨衫,152,0
9SS2305022,收口小脚牛仔裤,T400,32,0
ME10DC015,拼接polo,MIU千金,131,0
ME22DC001,拼腰头休闲裙,MIU千金,279,0
9SS2407059,出芽A型裙,意式极简,29,0
9SS2401052,收腰西装,意式极简,16,50
9SS2415055,醋酸收腰外套,意式极简,12,50
9SS2407080,醋酸出芽半裙,意式极简,1,50
9SS2401084,薄款系带西装外套,法式松弛,472,0
9SS2405070,系带裤子,法式松弛,376,0
ME10DV002,不规则捏褶T恤,仙女套,63,0
ME07DV018,网纱不规则半身裙,仙女套,92,0
ME01DC069,抽绳西装,森呼吸,27,0
ME01DC046,抽绳西装,森呼吸,95,0
ME15DC075,森呼吸猎装夹克,森呼吸,28,0
ME05DC165,抽褶短裤,森呼吸,20,0
ME08DV012,下摆分割连衣裙,睫毛裙,3,0
ME07DV048,蕾丝风琴褶半裙,睫毛裙,151,0
ME15DC025,亚麻夹克外套,森呼吸,195,0
ME05DC096,花苞短裤,森呼吸,42,0
ME05DW018,松紧抽褶阔腿裤,懒懒裤,33,0
ME10DC041,合身醋酸T恤,本色套,102,0
ME11DC107,纽结背心,本色套,26,0
ME05DC042,橡筋腰弧形裤,本色套,149,0
ME10DC020,大圆领基础T恤,呼吸T,542,0
ME13DW029,短款羽绒服,奶皮羽绒,123,0
MD09DC008,圆领针织长袖,静素衫,32,0
ME06DV047,皮筋中裤,古巴西装,144,0
ME01DV030,平驳领西装,古巴西装,176,0
ME04DV009,削肩马甲,古巴西装,218,0
ME17DV054,假两件透感条纹衬衫,海盐苏打,13,830
ME10DC012,泡泡短袖,麻花T,116,0
ME10DC044,扭扭u领短袖t,麻花T,143,0
ME16DV025,可收腰皮衣,纸皮皮衣,25,0
9AW2414016,真皮袢叠领宽松双面呢长大衣,1580大衣长版,5,0
9AW2414006,马家双面呢,1580大衣,96,0
MD09DV067,假两件圆领套衫,假两件圆领套衫,42,0
ME14DW058,立领单排扣大衣,考拉大衣,14,0
9SS2418031,短风衣,短风衣,29,0
9SS2407245,半身裙,常春藤,17,0
9SS2418028,常青藤风衣,常青藤风衣,4,0
9SS2408041,斜腰省连衣裙,梦露,28,0
ME05BW026,纤纤裤,瑜伽裤,565,0
ME05BW060,瑜伽裤,纤纤裤,2,0
MD09BW059,宽松条纹针织套头衫,平行线,1,0
9SS2409128,荡领短袖针织衫,荡领短袖针织衫,34,0
9SS2409177,荡领短袖针织背心,荡领短袖针织背心,104,0
ME07DC035,长款大鱼尾半裙,涟漪套,6,0
ME17DC013,荷叶领上衣,涟漪套,95,0
ME07DC023,斜分割半裙,涟漪套,25,0
9SS2418001,六粒扣长款风衣,肯豆风衣,105,0
ME05BW012,双摺抽绳长裤,绒绒套,54,0
9SS2317045,V领抽褶衬衫,天鹅湖,41,0
ME12BW002,长卫衣,绒绒套,8,0
ME12BW003,短卫衣,绒绒套,6,0
ME08DC091,V领A摆连衣裙,安娜苏/流浪裙,210,0
MD09DV142,宽松披肩式开衫,等风来,41,250
9SS2309029,竹节纱透开衫,冰淇淋,67,0
MD09DC017,一字领竹节纱短袖针织套衫,冰淇淋,293,0
MD11DC091,圆领针织背心,圆领针织背心,10,0
MD11DC090,V领针织背心,V领针织背心,145,0
ME10DC046,透感T恤,月笼沙,13,0
9SS2416010,长袖花苞羽绒服,胖豆豆,15,0
ME05DC133,A摆散步裤,月笼沙,7,0
9AW2413022,花苞羽绒背心,胖豆豆,14,0
9AW2415024,长毛101大衣,101长版-piacenza,82,0
ME10FV030,磨毛合身T恤,素颜T,1889,385
ME78DV001,男友牛仔外套(水洗产品),漫步者,3,0
9SS220803,圆领短袖分割连衣裙,圆领短袖分割连衣裙,126,0
ME13DW004,短款羽绒服,炭灰熊,80,0
ME15DC030,旅行外套,中产阶级风衣,9,0
ME25DC008,亚麻短裤,中产阶级风衣,10,0
MD09DF084,羊毛polo领条纹撞色针织套衫,红丝绒,25,0
ME05DC104,条纹松紧短裤,麻小T长袖版,179,0
ME10DC052,条纹长袖t,麻小T长袖版,63,0
ME05DW031,松弛感抽绳宽松休闲裤,软软裤,18,0
9AW2409067,菱形格针织polo衫,小菱花,11,0
9AW2409066,菱形格针织开衫,小菱花,9,0
9SS2410005,圆领廓形半袖,笑脸T,18,0
ME06DC013,棉麻宽松针织短裤,小冰格,5,0
MD11DC101,棉麻镂空针织马甲,小冰格,23,0
MD09DC070,棉麻镂空宽松针织套衫,小冰格,7,0
ME24DW005,羊绒蛋白瑜伽裤,羊绒蛋白瑜伽裤,7,0
MD11DV053,蕾丝拼接针织背心,小鸢尾,2,0
ME18DV005,2面穿一手长风衣,布朗风衣,6,0
MD05DF051,系带直筒针织长裤,奶糖套,142,0
MD09DF044,拉链针织连帽衫,奶糖套,84,0
ME14BW081,鸵鸟蛋大衣,鸵鸟蛋大衣,72,0
ME06DV029,松紧腰短裤,冰可乐,67,0
ME15DV036,开襟2用小外套,冰可乐,55,0
MD28DC002,撞色领针织短袖polo衫,奶芙蓉,1,0
MD09DV094,毛绒撞色小香马甲,小苍兰,5,0
ME06DC012,系带针织短裤,奶芙蓉,259,0
MD09BW135,花边撞色针织开衫,小苍兰,4,0
MD11DV063,polo领针织背心,小小miu,401,0
ME77DC009,弯刀涂鸦牛仔(水洗产品),涂鸦牛仔,68,0
ME05DC038,花边8分宽松裙裤,梦里花,0,0
ME07DC086,分割半身裙,野蔷薇,48,0
ME10DC053,一字肩上衣,野蔷薇,16,0
ME11DC113,印花吊带,野蔷薇,49,0
MD09DV099,镂空polo领针织衫,春夏下午茶,121,0
ME10DC024,拼接结构短袖,梦里花,57,0
9SS2409033,细肩带吊带背心短款,细肩带吊带背心短款,12,0
9SS2409032,细肩带吊带背心,细肩带吊带背心,116,0
ME11DV007,勺领背心,勺领背心,2,0
ME07DC002,分割线半裙,对角线,44,0
ME34DC004,不对称上衣,对角线,67,0
ME34DC023,不对称上衣,对角线,14,0
ME77DV018-1,牛仔直筒裤加长版(水洗产品),冈山牛仔,47,0
ME77DC021,牛仔短裤(水洗产品),冈山牛仔,136,0
ME77DV019-1,弯刀牛仔裤加长版(水洗产品),冈山牛仔,5,0
ME77DV019,弯刀牛仔裤(水洗产品),冈山牛仔,62,0
ME77DV018,牛仔直筒裤(水洗产品),冈山牛仔,210,0
ME77DC018,9分锥裤(水洗产品),小白牛,4,0
9AW2407053,短百褶半裙,短百褶半裙,32,0
9AW2407051,细百褶半裙,细百褶半裙,5,0
ME09DW019,圆领羊绒夹花针织套衫,雪花酥,130,0
MD09DF137,羊绒夹花V领针织套衫,雪花酥,60,0
9SS2407051,橡筋腰半身裙,橡筋腰半身裙,66,0
ME77BW019,弯刀裤毛边牛仔(水洗产品),弯刀裤毛边牛仔(水洗产品),108,0
ME77DC001,弯刀牛仔裤(水洗产品),弯刀,74,0
ME11BW005,show斜裁吊带,show斜裁吊带,689,0
9SS2401047,直筒工装裤,直筒工装裤,5,0
MD11DC047,镂空亮片宽松针织背心,夏威夷,318,0
MD09DC003,镂空亮片宽松针织套衫,夏威夷,28,0
MD09BF002,宽松落肩针织套头衫,卫衣衫圆领,10,0
MD09BW158,圆领宽松中长款针织短袖T恤,拿铁套,204,0
ME10DF036,长袖字母T恤,字母T,25,0
ME11DC134,松弛勺领背心,松弛勺领背心,66,0
ME10DC091,宽松落肩T恤,宽松落肩T恤,216,0
ME05DC166,针织八分裤,针织八分裤,143,0
ME10BW011,毛毛T冬季打底短袖,暖暖T,12,0
ME11DC054,深领背心,深领背心,22,0
ME05DC035,斜纹超长喇叭裤,斜纹超长喇叭裤,26,0
MD09BW164,绞花大翻领套衫,麻花套,12,0
MD09BW140,绞花短裤,麻花套,38,0
ME07DC063,腰头褶伞裙,折纸裙,67,0
ME05DC083,抽绳短裤,巴厘岛,61,0
ME07DC060,松紧腰短半裙,巴厘岛,77,0
9SS230856,短袖背心A裙,短袖背心A裙,41,0
ME15DV035,铜氨低腰内抽绳外套,冰感爆米花,45,0
9AW2309176,修身针织小马甲,修身针织小马甲,161,0
ME05DC075,松紧腰阔腿8分裤,松紧腰阔腿8分裤,49,0
ME07DC066,花苞腰半裙,花苞腰半裙,71,0
ME01DC038,宽松小领一粒扣西装,宽松小领一粒扣西装,113,0
9SS230143,微收腰款无领西装,微收腰款无领西装,76,0
ME15DC001,醋酸飘领门襟外套,心智套,105,16
ME05DC085,松紧腰直筒裤,心智套,96,0
ME04DF016,收腰小马夹,皇后街,52,200
ME05DF019,直筒长裤,皇后街,20,200
ME11DC094,勺领背心,心智套,29,0
ME01DF021,双排扣西装,皇后街,36,200
ME17DC020,手工钉珠衬衫,MIU小条,61,0
ME10DF034,蕾丝拼接长袖T,棉花糖,289,0
ME17BW015,水洗感衬衫,水洗感衬衫,63,0
ME07DC040,条纹压褶半裙,MIU小条,120,0
ME32DW011,菱格纹毛衫马甲,柏林纪事,11,0
ME32DW010,菱格纹毛衫开衫,柏林纪事,19,0
ME13DW025,毛领羽绒服,糯米团子,190,0
MD09DC001,假两件针织套衫,空气衫,59,0
ME18BW005,拼接收腰风衣,巴恩风衣,24,0
9AW2415011,三袋猎装夹克,冒险家风衣版,13,0
MD09BW153,miu感叠穿短袖针织套衫,MIU系三件套,71,0
ME58BF001,连帽拉链短款大衣,蘑菇大衣,12,0
ME04DV023,无袖胖豆豆,无袖胖豆豆,260,0
ME05DC036,印花阔腿裤,玫瑰速写,28,0
ME17DC023,速写玫瑰衬衫,玫瑰速写,66,0
ME08DC018,玫瑰连衣裙,玫瑰速写,1,0
MD09DV079,撞色虚线圆领短袖针织开衫,航线,3,0
ME15DV051,春夏胖豆豆短外套,春夏胖豆豆,15,0
MD09DV078,撞色虚线圆领针织马甲,航线,3,0
ME15DV058,小飞象短外套,小飞象短外套,0,0
ME08DC005,T恤连衣裙,小睡莲,59,0
ME04DC016,条纹马甲,素描套,65,0
ME05DC014,色织肌理条纹阔腿裤,素描套,6,0
MD09DV086,条纹针织半裙,斑马线,181,0
9SS2415062,橡筋抽绳防晒外套,超防晒,356,0
9SS2406029,橡筋抽绳防晒短裤,超防晒,10,0
ME15DC043,亚麻短袖外套,如梦令,36,0
ME11DV031,珍珠香风背心,人鱼公主,0,0
ME05DC122,八分裙裤,如梦令,265,0
ME18DV023,鱼子酱垂感风衣,鱼子酱风衣,13,0
ME20DV019,珍珠V领小香外套,人鱼公主,0,0
ME07DV074,珍珠小香半裙,人鱼公主,18,0
MD14BW062,鱼子酱——双面,鱼子酱,23,0
9AW2305068,九分小脚裤王,裤王时代,50,0
ME15DC005,开襟外套,亚麻冰可乐,56,0
ME14BF007,101长毛大衣,inca-101长,65,0
ME14BF006,101801短大衣  incalpaca,inca-101短,145,0
ME14BW049,苏力9号101801短大衣,苏力9号-101短,0,0
ME14DF069,短款101大衣,101传承,100,0
ME14BF005,101801短大衣piacenza,pia-101短,105,0
ME14DF051,短款101大衣,101传承,75,0
ME77DV010,微喇9分牛仔裤(水洗产品),微喇9分牛仔裤(水洗产品),12,323
9SS2409102,和纸珠片宽松针织衫,星耀衫,5,0
9SS2409147,珠片拼接针织背心,星耀衫,27,0
9SS2409130,v领和纸珠片连衣裙,星耀衫,44,0
ME01BW046,单粒戗驳领收腰西服,信成道,10,0
ME05BW089,小脚西裤,信成道,10,0
ME10DV007,基础款T恤,基础款T恤,7,0
ME05BW089-1,小脚西裤(长),信成道,3,0
ME08DV048,经典圆领无袖连衣裙,信成道,25,0
ME08DV047,信成道短袖连衣裙,信成道,69,0
ME77DC005,连腰牛仔裤(水洗产品),连腰牛仔裤(水洗产品),0,0
MD05DC039,宽松萝卜裤,萝卜裤,191,0
ME77DV021,天丝牛仔长裤(水洗产品),甩甩牛,2,0
ME05DV031,多色运动瑜伽喇叭裤,多色运动瑜伽喇叭裤,0,0
ME15BW028,泰迪短外套复色,库里南国产,5,0
ME14BW002,欧德三粒扣大衣,inca-小领大衣长,20,0
ME14BW069,小领大衣短款texsco,小领大衣短款texsco,0,0
ME15BW002,泰迪短外套,库里南,0,0
ME14BW010,欧德三粒扣短大衣,inca-小领大衣短,198,0
MD09DC067,进口亚麻条纹针织衫,进口亚麻条纹针织衫,719,0
9SS2407079,膝上短裙,膝上短裙,33,0
ME07DF045,花苞半裙,花朵裙,93,0
ME05DF058,褶裥九分裤,花朵裙,24,0
ME05DV091,剪花小香长裤,芭蕾系列,66,0
ME20DV009,提花小香外套,芭蕾系列,20,0
ME08DV053,剪花U领小香连衣裙,芭蕾系列,0,0
ME15DV032,砂洗丝锦绸外套,干丝套装,163,30
ME05DV069,砂洗丝锦绸奶奶裤,干丝套装,74,0
ME13DF046,两件套羽绒外套,软心泡芙,55,0
ME07BW102,针织直身半裙,懒懒套,175,0
ME15DV013,牛仔衬衫外套(水洗产品),探索家,9,0
ME11BW008,勺领针织无袖背心,懒懒套,9,0
ME07DC038,针织直身半裙,散步系列,45,0
ME07DV026,A版对褶半裙,A版对褶半裙,0,0
9AW2414007,‘玛黑区’风衣大衣,‘玛黑区’风衣大衣,14,0
ME05DF029,针织短裤,散步系列,108,0
9AW2404006,撞料边马甲,撞料边马甲,0,0
